Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2709,0,23,60,22,2683,181,192,143,2148,Rawah,C7745,1
3135,0,3,285,0,3767,215,234,156,1348,Rawah,C7745,0
2898,0,12,127,27,2862,202,217,152,1984,Rawah,C7745,1
3047,0,12,616,3,4117,202,217,152,3330,Rawah,C7745,1
3124,0,12,42,3,2126,202,217,152,1919,Rawah,C7745,0
2982,0,8,90,10,4938,208,225,154,4753,Rawah,C7745,1
3152,0,1,362,10,3388,217,236,156,3931,Rawah,C7745,0
3158,0,8,474,14,5855,209,226,155,1027,Rawah,C7745,0
3184,0,4,330,89,4968,214,232,156,1983,Rawah,C7745,0
2834,0,12,42,7,3638,202,217,152,6474,Rawah,C7745,1
2814,0,14,67,10,3428,199,214,151,6417,Rawah,C7745,1
3033,0,10,85,22,4487,205,221,153,566,Rawah,C7745,1
2657,0,18,42,5,1865,192,205,148,2839,Rawah,C7745,1
2991,0,4,134,12,3778,213,232,156,4984,Rawah,C7745,1
2677,0,30,120,51,1326,163,171,134,2605,Rawah,C7745,1
3175,0,1,30,1,5064,217,236,156,2385,Rawah,C7745,0
2683,0,32,30,16,2836,157,163,131,6483,Rawah,C7745,1
3027,0,4,256,71,4090,213,232,156,2416,Rawah,C7745,1
3190,0,9,301,95,4971,208,224,154,1943,Rawah,C7745,0
3126,0,7,255,14,3742,210,228,155,1383,Rawah,C7745,0
3052,0,4,484,83,5456,214,232,156,1060,Rawah,C7745,1
3175,0,14,85,3,4776,199,213,151,1358,Rawah,C7745,0
3037,0,12,150,42,4098,202,217,152,2491,Rawah,C7745,0
3165,0,14,382,69,3961,199,214,151,967,Rawah,C7745,1
3029,0,8,424,50,5309,208,225,154,1134,Rawah,C7745,1
3265,0,9,218,39,3122,206,222,154,2214,Rawah,C7745,0
3116,0,20,108,13,4264,187,199,146,3000,Rawah,C7745,0
2906,0,19,551,198,2934,189,201,147,1706,Rawah,C7745,1
3160,0,3,216,29,3077,215,234,156,870,Rawah,C7745,1
3031,0,12,417,10,3733,202,217,152,2630,Rawah,C7745,1
3307,0,11,212,8,4221,203,219,153,1464,Rawah,C7745,0
2972,0,11,201,30,3450,204,220,153,6521,Rawah,C7745,0
2870,0,9,247,66,3989,206,222,154,5354,Rawah,C7745,1
3280,0,1,270,37,4893,217,236,156,698,Rawah,C7745,1
2811,0,14,90,20,3401,199,213,151,5924,Rawah,C7745,1
2847,0,5,30,0,3892,213,231,156,6099,Rawah,C7745,1
3086,0,15,497,6,3734,197,211,150,4457,Rawah,C7745,0
3070,0,10,577,20,3791,205,221,153,4495,Rawah,C7745,0
3237,0,8,769,93,6122,209,226,155,1410,Rawah,C7745,0
3165,0,7,671,23,3434,210,227,155,3734,Rawah,C7745,0
3008,0,6,127,17,6012,211,228,155,3463,Rawah,C7745,1
3030,0,6,67,4,924,212,229,155,2089,Rawah,C7745,1
3057,0,0,752,53,5894,218,238,156,3867,Rawah,C7745,1
2966,0,7,95,13,1939,210,227,155,1385,Rawah,C7745,1
3168,0,7,573,55,3544,210,228,155,3568,Rawah,C7745,0
3031,0,12,210,27,5243,202,217,152,4463,Rawah,C7745,1
2926,0,14,180,-2,5442,199,213,151,3879,Rawah,C7745,1
2995,0,5,60,3,2821,213,231,156,1604,Rawah,C7745,1
3285,0,6,360,65,3300,211,228,155,2052,Rawah,C7745,0
3136,0,2,150,1,3928,216,235,156,1419,Rawah,C7745,0
3152,0,14,85,10,3161,199,214,151,5060,Rawah,C7745,0
2932,0,7,30,0,3958,210,228,155,5058,Rawah,C7745,1
3041,0,14,437,-2,3631,199,213,151,2738,Rawah,C7745,1
3103,0,21,85,7,4263,184,196,145,2974,Rawah,C7745,0
3011,0,3,600,35,5494,215,234,156,1556,Rawah,C7745,1
2921,0,7,297,15,2346,210,228,155,2435,Rawah,C7745,1
3095,0,6,30,2,4801,212,229,155,2506,Rawah,C7745,1
3224,0,3,503,52,4307,215,233,156,1771,Rawah,C7745,0
3089,0,9,150,6,3807,206,222,154,993,Rawah,C7745,0
2968,0,12,67,9,5831,202,217,152,3561,Rawah,C7745,0
3041,0,7,516,69,5563,210,228,155,3868,Rawah,C7745,0
3011,0,4,30,-1,964,213,232,156,2525,Rawah,C7745,1
3220,0,0,216,23,5360,218,238,156,1209,Rawah,C7745,0
3080,0,15,516,16,3518,197,211,150,2881,Rawah,C7745,1
2821,0,6,201,66,3542,212,229,155,5760,Rawah,C7745,1
3052,0,9,60,11,3188,208,224,154,402,Rawah,C7745,0
2991,0,5,437,115,2678,212,230,156,2207,Rawah,C7745,1
3037,0,12,430,3,3697,202,217,152,2672,Rawah,C7745,1
3272,0,9,518,114,5242,208,224,154,1784,Rawah,C7745,0
3161,0,8,306,17,5991,209,226,155,1006,Rawah,C7745,0
2873,0,14,134,39,3695,199,214,151,5948,Rawah,C7745,1
2801,0,3,120,23,3038,215,234,156,6175,Rawah,C7745,1
3250,0,13,108,17,1956,201,216,152,1392,Rawah,C7745,1
3041,0,17,361,7,4288,194,207,149,3000,Rawah,C7745,1
3142,0,17,175,19,4269,194,207,149,3076,Rawah,C7745,0
3070,0,6,376,71,5329,212,229,155,3550,Rawah,C7745,1
2963,0,5,0,0,1739,213,231,156,1410,Rawah,C7745,1
3134,0,2,150,0,3909,216,235,156,1434,Rawah,C7745,0
3041,0,3,379,21,4415,215,234,156,1260,Rawah,C7745,1
3172,0,12,190,30,3077,202,217,152,5019,Rawah,C7745,0
2761,0,9,182,5,1939,207,223,154,1566,Rawah,C7745,1
2916,0,0,0,0,4562,218,238,156,5442,Rawah,C7745,1
3101,0,14,306,17,1906,198,212,151,2620,Rawah,C7745,0
3230,0,13,150,22,2239,200,215,152,2481,Rawah,C7745,0
2754,0,3,120,15,1379,215,234,156,2334,Rawah,C7745,1
3116,0,13,446,10,3589,201,216,152,4491,Rawah,C7745,0
3067,0,3,351,45,2136,215,234,156,1357,Rawah,C7745,0
2989,0,8,313,30,926,209,226,155,2094,Rawah,C7745,1
3253,0,11,210,24,3201,203,219,153,2224,Rawah,C7745,0
3187,0,2,242,16,4933,216,235,156,2340,Rawah,C7745,0
